5.4209e-06,-2.9886e-06,235.19,331.91
2.3072e-06,9.5814e-05,235.08,335.01
4.8228e-07,0.00019362,235.01,338.09
7.1467e-06,0.0002938,235.24,341.24
-7.1756e-06,0.00040211,234.72,344.65
-3.2886e-06,0.00049794,234.85,347.66
-6.4323e-06,0.0006038,234.74,350.99
-2.3575e-06,0.00070153,234.88,354.07
-7.4248e-06,0.00079684,234.69,357.06
6.6113e-06,0.00089777,235.19,360.24
8.5389e-07,0.00099572,234.98,363.32
2.6827e-06,0.001101,235.03,366.63
3.0067e-06,0.0011988,235.04,369.71
0.00010843,4.1364e-06,238.87,332.14
9.6707e-05,8.4858e-05,238.45,334.67
9.3055e-05,0.00020915,238.31,338.58
9.4417e-05,0.00029438,238.36,341.26
0.00010274,0.00040414,238.65,344.72
0.00010086,0.00049071,238.58,347.44
0.0001014,0.0006033,238.59,350.98
0.00010112,0.00069396,238.57,353.83
9.8511e-05,0.0008117,238.47,357.54
9.1398e-05,0.00090018,238.21,360.32
0.00010099,0.0010005,238.55,363.47
0.00010802,0.001096,238.8,366.48
9.4077e-05,0.0011981,238.29,369.69
0.00020505,1.6612e-07,242.32,332.02
0.00020689,0.00010012,242.38,335.16
0.0001958,0.00019913,241.98,338.27
0.00019987,0.00029333,242.12,341.24
0.00020131,0.00039415,242.17,344.41
0.0002055,0.00050216,242.31,347.8
0.00020548,0.00060214,242.31,350.95
0.00020064,0.00069578,242.13,353.89
0.00020068,0.00080865,242.12,357.44
0.00019729,0.00090012,242,360.32
0.00020095,0.0010073,242.12,363.69
0.00019116,0.0010965,241.77,366.5
0.00020263,0.001208,242.17,370.01
0.00031152,1.2882e-06,246.13,332.06
0.00030563,0.00010327,245.91,335.26
0.00029254,0.00019362,245.44,338.1
0.0003065,0.00030042,245.93,341.46
0.00029168,0.0004094,245.39,344.89
0.00030634,0.00050012,245.91,347.75
0.00030028,0.00060041,245.69,350.9
0.00029254,0.00070471,245.41,354.18
0.00029451,0.00080352,245.47,357.29
0.000301,0.00089956,245.7,360.31
0.00030481,0.0010015,245.83,363.52
0.00029614,0.0011037,245.52,366.73
0.00029437,0.0012,245.45,369.76
0.00039667,-5.1027e-06,249.17,331.86
0.00040369,0.0001057,249.41,335.34
0.00040447,0.00020114,249.43,338.35
0.00040039,0.00030035,249.28,341.47
0.00040725,0.00040569,249.52,344.78
0.0003994,0.00049107,249.24,347.47
0.00040313,0.00060605,249.36,351.08
0.00039527,0.00070085,249.08,354.06
0.00040141,0.00080253,249.29,357.26
0.00040117,0.00090477,249.28,360.48
0.00039772,0.00099203,249.15,363.22
0.0003982,0.0011096,249.16,366.92
0.00040331,0.0011993,249.34,369.74
0.00050453,-1.136e-05,253.02,331.67
0.00049415,9.1792e-05,252.64,334.91
0.0004973,0.00020636,252.75,338.52
0.00050688,0.0003009,253.09,341.49
0.00050303,0.00039973,252.94,344.6
